date,total_posts,active_users,flagged_content,moderation_actions,creator_signups,appeal_volume
2025-05-01,142300,98200,4210,3980,1240,312
2025-05-02,138900,95600,4050,3820,1180,298
2025-05-03,145200,101300,4380,4120,1310,325
2025-05-04,139800,96700,4120,3890,1190,308
2025-05-05,143600,99400,4290,4050,1260,319
2025-05-06,148100,103200,4520,4260,1340,334
2025-05-07,141700,97800,4180,3940,1220,310
2025-05-08,144900,100100,4340,4090,1280,322
2025-05-09,147300,102400,4480,4210,1330,331
2025-05-10,140200,96900,4140,3910,1200,304
2025-05-11,143800,99600,4300,4060,1270,320
2025-05-12,146500,101800,4430,4180,1320,329
2025-05-13,149200,103700,4570,4310,1360,338
2025-05-14,142400,98500,4220,3990,1240,313
2025-05-15,145700,100900,4370,4110,1290,324
2025-05-16,148800,103300,4510,4250,1340,333
2025-05-17,141100,97300,4160,3930,1210,307
2025-05-18,144500,100000,4320,4070,1275,321
2025-05-19,147600,102600,4460,4200,1325,330
2025-05-20,150300,104500,4640,4370,1380,342
2025-05-21,143100,98900,4240,4000,1250,315
2025-05-22,146200,101400,4400,4140,1300,326
2025-05-23,149500,103900,4550,4290,1350,336
2025-05-24,152100,105800,4720,4450,1400,349
2025-05-25,144800,100300,4350,4100,1285,323
2025-05-26,148000,102800,4490,4230,1335,332
2025-05-27,151200,105100,4660,4390,1375,344
2025-05-28,154600,107800,4870,4580,1430,357
2025-05-29,147300,102100,4470,4210,1320,330
2025-05-30,189400,127600,7840,7120,1850,612
